bgg_id,primary_name,all_names,year,description,min_players,max_players,playing_time,min_play_time,max_play_time,min_age,categories,mechanics,families,designers,artists,publishers,bgg_rank,average_rating,bayes_average,users_rated,weight,owned
100278,Tripolo,Tripolo; 셋셋셋,2011,"3 in a row makes TRIPOLO.&#10;&#10;Wherever you spot 2 similar cards in a row, play a matching card from your hand to make it a &quot;TRIPOLO&quot; &mdash; 3 in a row horizontally, vertically, or diagonally. Act fast to be the first player to get rid of all your cards.&#10;&#10;Make matches as fast as you can!&#10;&#10;",2,4,0,0,0,6,Animals; Children's Game; Educational,Pattern Recognition,,Maureen Hiron,Fian Arroyo,Game Factory; Happy Baobab; Kanga Games; Lúdilo; Stragoo Games; USA Games Inc; Vennerød Forlag AS,19084,6.27419,5.51733,62,1,150
101239,Ponder,Ponder; Kernouille,2010,"Welcome to the Pond! You are just in time for the annual frog race. The distance is &quot;one English pond&quot;, and your goal in Ponder is to get your team to the other side of the pond before everyone else.&#10;&#10;Your frogs can't jump clear from one side of the pond to the other, however, so you'll need to lay down lily pads so that they can cross the water. Since the pond is so crowded with frogs, you can move only as the cards tell you to. In game terms, each turn you can take one of thr...",2,4,45,45,45,7,Animals; Children's Game; Racing,Hand Management,Animals: Frogs / Toads,Isabel Holmberg,,Carrom Art; Mindtwister AB; Mindtwister USA; Piatnik,23953,5.52394,5.50055,71,1,146
10372,Diamant,Diamant,1975,"The mystic board is in itself enticing. Almost hand-wide in height with ponderous bulges, in magical midnight- blue with glittering diamonds. The game is to light up the individual diamonds with invisible beam. This is done by clever placing of the silver colored stones on the board thus directing the invisible beam onto the right diamonds.&#10;&#10;",2,4,30,30,30,8,Abstract Strategy,Area Movement,Components: 4 x 4 Grids; Series: Buchkassette (Pelikan),Andrea Steyn,,Pelikan,21554,6.15484,5.50915,31,1.5,127
104006,Village,Village; Descendance; Het Dorp; Kronika panství; Pokolenia; La Villa; Village: Cronica generațiilor; Village: La Vita è un Gioco; Village: Nemzedékek játéka; Village: Ο Κύκλος της Ζωής; Летопись; Селище; 村の人生; 村莊,2011,"Life in the village is hard &ndash; but life here also allows the inhabitants to grow and prosper as they please. One villager might want to become a friar. Another might feel ambitious and strive for a career in public office. A third one might want to seek his luck in distant lands.&#10;&#10;Each player will take the reins of a family and have them find fame and glory in many different ways. There is one thing you must not forget, however: Time will not stop for anyone and with time people wil...",2,4,90,60,90,12,Economic; Farming; Medieval,"Area Majority / Influence; Contracts; Set Collection; Turn Order: Claim Action; Worker Placement; Worker Placement, Different Worker Types",Digital Implementations: Tabletopia; Game: Village,Inka Brand; Markus Brand,Dennis Lohausen,"eggertspiele; 999 Games; Albi; Delta Vision Publishing; Fantasmagoria; Fire on Board Jogos; Gigamic; hobbity.eu; Hobby Japan; KADABRA; Kaissa Chess & Games; Lautapelit.fi; Ludicus Games; Ludonova; Pegasus Spiele; Plan B Games; Stronghold Games; Swan Panasia Co., Ltd.; Tasty Minstrel Games; uplay.it edizioni; Zvezda",238,7.48682,7.28945,24011,3.0612,30834
10582,Who Wants to Be a Millionaire Junior,Who Wants to Be a Millionaire Junior; Haluatko miljonääriksi? Junior; Hvem vil være millionær? Junior; Legyen Ön is milliomos Junior; Vil du Bli millionær junior; Viltu vinna milljón? Barna- og unglingaspilið; Weekend Miljonairs Junior; Wer wird Millionär Junior,2000,This game is exactly like &quot;Who Wants To Be A Millionaire&quot; in every way except the questions are easier and geared to a younger audience.&#10;&#10;Great for the kids and those who aren't good at trivia.&#10;&#10;,2,5,45,45,45,8,Children's Game; Movies / TV / Radio theme; Trivia,Push Your Luck,TV Shows: TV Game Shows; TV Shows: Who Wants To Be A Millionaire,(Uncredited),,Celador; danspil; Jumbo; Piatnik; Pressman Toy Corp.,26778,4.73469,5.48351,49,1,140
107007,Pohjanmaan Valtias,Pohjanmaan Valtias,2011,"Pohjanmaan Valtias is an adventure and conquering game, where every player can choose are they good guy or bad guy. &#10;The main goal of the game is to conquer the area of Pohjanmaa.&#10;&#10;Game features:&#10;&#10;-Freeflow moving around the game world by cards.&#10;-Buy cities and villages.&#10;-Conquer cities of other players by knife fight.&#10;-Complete missions as a good guy or bad guy to earn money.&#10;-Punish other players by sending them behind sauna or destroy their cities.&#10;-Tak...",2,6,90,90,90,10,Adventure; Fighting; Humor; Territory Building,Area Majority / Influence; Area Movement; Auction / Bidding; Open Drafting; Point to Point Movement; Rock-Paper-Scissors,,,,Jukolautapelit,,5.72692,0,26,3,33
107448,Sagrada,Sagrada,2007,"Sagrada is a Spanish learning game with German as the source language.&#10;&#10;Summary&#10;&#10;The players of Sagrada focus on two goals: First, they want to learn or revise the core vocabulary of Spanish nouns (about 800 words). Second, the players want to complete the unfinished church La Sagrada Familia. Towards this end, each player gets a number of jigsaw puzzle pieces which they have to buy during the game. The required money is earned by trading in language cards and asset cards. The ga...",2,4,60,60,60,0,Educational,Roll / Spin and Move,,Ulrich Paulus,Hardy Kaiser,Parland Spiele,,6.695,0,10,0,59
10750,Imperium,Imperium,1997,"A Swedish strategy game in which players represent major European powers in a pseudo-WWII scenario.  The theater of war is Europe and North Africa, and the units are all land-based - Infantry and Armour.&#10;&#10;Air and Naval units are provided for with the use of cards, which also allow the use of special strategy and tactics (paratroopers, anti-aircraft fire, fortifications, amphibious invasion), and politics (industrial reserves, propaganda).&#10;&#10;",2,4,180,180,180,12,Industry / Manufacturing; Political; World War II,Area Movement,,(Uncredited),,Ruphus & Ramses,,7,0,7,0,35
107529,Kingdom Builder,Kingdom Builder; Królestwo w Budowie; Строители королевств,2011,"In Kingdom Builder, the players create their own kingdoms by skillfully building their settlements, aiming to earn the most gold at the end of the game.&#10;&#10;Nine different kinds of terrain are on the variable game board, including locations and castles. During his turn, a player plays his terrain card and builds three settlements on three hexes of this kind. If possible, a new settlement must be built next to one of that player&rsquo;s existing settlements. When building next to a location,...",2,4,45,45,45,8,Medieval; Territory Building,Area Majority / Influence; Chaining; Enclosure; Grid Movement; Hexagon Grid; Modular Board; Network and Route Building; Pattern Building; Tile Placement; Variable Set-up,Components: Map (Regional scale); Components: Wooden pieces & boards; Digital Implementations: Board Game Arena; Digital Implementations: BrettspielWelt; Game: Kingdom Builder; Misc: LongPack Games; Series: Yellow Wave Box (Queen),Donald X. Vaccarino,Oliver Schlemmer,Queen Games; Devir; Enigma (Bergsala Enigma); Evrikus; Lautapelit.fi; Rebel Sp. z o.o.,744,6.93888,6.78967,24328,2.0678,30772
11028,Lotto,"Lotto; Alphabet Lotto; Anche Loro!!; Animal Lotto; Astrid Lindgrens Lotto; Auto Lotto; Auto-Lotto; Babar Lotto; Bambino Lotto; Bamse Lotto; Bank; Banko; Bauernhof-Lotto; Beano; Ben & Holly's Little Kingdom Lotto Game; Benjamin Blümchen Lotto; Benjamin Blümchen Zirkus Lotto; Benjamin Blümchen Zoo Lotto; Bilder + Leselotto; Bilder ABC; Bilder-Lotto; Bilder-Lotto: Im Wald und auf der Heide; Bilderlegespiel; Bilderlotto; Bilderlotto für unsere Kleinsten; Billedelotteri; Billedlotteri; Blumen-Lotto; Blumenlotto; Bozo TV Lotto; Bussi Bär: Verkehrszeichen Lotto; Casper's Picture Lotto; Children of Foreign Lands Lotto; City Lotto; Classic Bingo; Danmark i Billedelotteri; Dick Bruna Lotto; Dino-Lotto; Dinosaurier Lotto; Disney Lotto; Dyre-Lotto; Das ein mal eins als Lotterie; Ein-Mal-Eins-Lotto; Einst und Jetzt Lotto; Erstes Lotto; Fabeltjeskrant Lotto; Fairy-Tale Lotto; Familiar Objects; Farbiges Tierlotto; Farm Lotto; Fit-In Picture Lotto; Fleckis Lotto; Floral Loto; Flower Lotto; La France Pittoresque; Fullt kort; Game of Lotto; Gartenlotto; Lo Giuoco del Lotto d'Italia; Das große Tierlotto; Historical Lotto; House; House! or Lotto; Housee; Housey-House; Housie; Janosch Lotto; Jeu d' Herbes Medicinales par Kneipp; Jeu de Loto; Les Jeux de Lucky Luke Loto et Dominos; Jeux des 4 Saisons; Juego de la Loteria; Kikker & Vriendjes Lotto; Der Kinderfreund  mit seiner Glücksbude; Kinderlotto; Kunst-Lotto; L'Histoire de France; Lernlotto Blumen; Lernlotto Fruchte; Let's Play Lotto; Linofive; Little Dot's Picture Lotto Game; Loteria; Loteria de los Animales; Loto; Loto dauphin; Le Loto De Babar; Loto de Géographic; Loto de l' Histoire de France; Loto de la Route; Le Loto de Oui-Oui; Loto Des Chateaux de France; Loto Des Drapeaux; Loto des Métiers; Loto des Teuf-Teuf; Loto Enfantin Jeu Amusant; Loto Europeen; Loto Mineralogique; Lotteri; Lotteria dei Piccoli; Lotterie; Le Lotto; Lotto (Housey-Housey); LOTTO 5; Lotto Boy Scouts Edition; Lotto Club Set; Lotto Dom; The Lotto Game!; Der Lotto König; Lotto med femton kulor; Lotto or ""Housey-Housey""; Lotto or House; Lotto or Housey-Housey; Lotto Photo; Lotto Verkeer; Lotto Vögel; Lotto Zoo; Lotto-Stern; Lucky Luke Vise Juste Loto; Das Lustige Bilder-Lotto; Lustiges ein mal eins; Magic Roundabout TV Lotto; Mainzel-Männchen; Mal- u. Haustier- Lotto; Märchen-Lotto; Märchenlotto; Märchenlotto + Puzzle; Marvel Avengers Assemble Lotto; Mathematical Quodlibet; Maxi-Lotto Spielzeug; Mein erstes Lotto; My World My Lotto; Naturgeschichtliches Lotto; Das neue Lotto; Neuestes Würfel Lottospiel; Nicki Lotto; Noddy Loto; Noddy Picture Lotto; Nursery Lotto, An Interesting Round Game; Oiseaux du Monde; Old MacDonald Lotto; Philipp die Maus Lotto; Picture-Lotto; Play and Learn Lotto; The Popular Game of Lotto; Popular Lotto; Preschool Lotto Game; Prof. Grzimeks Tier-Lotto; Pumuckl-Lotto; Rätsel-Lotto; Das Regenbogenfisch Lotto; Regnelotteriet; Sesam Bild-Lotto; Ships & Boats Lotto; Spelling Lotto; Spreekwoorden-Lotto; Städte des deutschen Reiches; Stavelotteri; Super Tombola Special; Super Tombolina; Tal Lotteri; Tallotteri; Technisches Wissen und Können; Tier aus aller Welt; Tier-Lotto; Tiere aus aller Welt-Lotto; Tiere-Lotto; Tierkinder-Lotto; Tierlotto; Tingeling; Tom & Jerry Loto; Tombola; Tombola 48; Tombola degli ambienti lessicali; Tombola degli animali; Tombola: The Italian Game of Chance; Trafikk Lotto bil-båt-tog-fly; U.S.A. Lotto; Verkehrs-Lotto; Visitons La Ferme Un Loto; Vogelbilder-Lotto; Walt Disney Lotto; Was kostet das?; Welt der Abenteuer; Wer wie was; What is This?; Wide World Lotto; Zahlen-Lotto; Zeitvertreibende Lotterie mit Gewinn und Verlust für junge Leute; Zoo Lotto; Zoological Lotto; Γεωγραφική Τόμπολα Ελλάδος; Κασπερ ΤΟΜΠΟΛΑ ΕΙΚΟΝΩΝ; Μίκυ Μάους Τόμπολα; Τόμπολα; Лото на селу",1530,"[See also Loteria, under a separate entry]&#10;&#10;A precursor to Bingo, Lotto utilizes cards showing pictures or numbers in a grid, commonly 4x4 pictures or 3x6 numbers. The same images or numbers are scattered on different cards. A set of tiles or small cards is used to call out which image/number the players should cover up with a chip. The first to get one row complete wins a round. Many people can play at once; one older game was designed for large groups of up to 48 players.&#10;&#10;Ther...",2,48,30,30,30,3,Children's Game; Party Game,,"Traditional Games: Bingo; Animals: Apes / Monkeys; Animals: Bears; Animals: Bees; Animals: Cats; Animals: Chickens / Roosters; Animals: Dinosaurs; Animals: Dogs; Animals: Elephants; Animals: Fish / Fishes; Animals: Mice; Animals: Rabbits / Hares; Animals: Tigers; Animals: Zebras; Authors: Astrid Lindgren; Authors: Enid Blyton; Authors: Mother Goose; Books: Babar; Books: Pippi Longstocking; Books: The Rainbow Fish; Books: Winnie the Pooh; Brands: Disney; Characters: Bamse; Characters: Benjamin the Elephant; Characters: Bozo the Clown; Characters: Kikker & Vriendjes; Characters: Mickey Mouse; Comic Books: Harvey Comics; Comic Books: Lucky Luke; Comic Books: Marvel Universe; Components: 3 x 3 Grids; Containers: Tin/Metal Box; Containers: Tubes; Country: France; Country: USA; Creatures: Ghosts; Creatures: Monsters; Folk Tales & Fairy Tales: Little Red Riding Hood; Folk Tales & Fairy Tales: Puss in Boots; Holidays: Christmas; Movies: Frozen; Movies: Monsters, Inc.; Movies: Pixar; Series: Noris-Fernsehspiele (Noris-Spiele); Theme: Clowns; Theme: Flowers; Theme: Scouting / Guiding; Theme: Superheroes; Theme: Traffic / Driving; Theme: Zoos, Aquaria, Safari Parks; TV Shows: Casper the Friendly Ghost; TV Shows: Hanna-Barbera; TV Shows: Maya the Bee; TV Shows: Sesame Street; TV Shows: Tom & Jerry; TV Shows: Unser Sandmännchen",(Uncredited),Rune Andréasson; Dick Bruna; Maurice de Bevere; Jean de Brunhoff; Jens Julius Hansen; Eric Hill; Janosch; Rolf Kauka; Günther Marks; Gisela Mohr; Marcus Pfister; Eelco Martinus ten Harmsen van der Beek; Barbara von Johnson,"(Public Domain); (Unknown); Abel Klinger; AK Spiele Heimchen; Alga; Amor Spielefabrik; ASS Altenburger Spielkarten; Atmosphere; B & S Company; Bayerwald Spiele; Berliner Spielkarten; Berwick's Toy Co. Ltd.; Biserka; Blatz; British Games Ltd (BGL); Brybelly; Built-Rite; Carlit; Carls Stenders Kunstforlag; Cayro, The Games; Chad Valley Co Ltd.; Clementoni; Codeg; Dal Negro; Dalmau Carles Pla S.A.; danspil; Diset S. A.; Drechsler; E. E. Fairchild Corporation; E. S. Lowe Company Inc.; East Hull Press; Éditions Gladius International, Inc.; Edizione Marca Stella; Edizione Marca Stella; Edizioni Cicogna; eeBoo; F.X. Schmid; Flamenco; Franz Schmidt; Gayplay; Gibsons; Glevum Games; Granna; H. P. Gibson & Sons; Harett-Gilmar; Harlesden Games; Hartwig & Vogel; Hausser; Heros; I. P. C. Universal Corp.; Ideal; J. A. Endtersche Verlagsbuchhandlung; J. Van Brunschot; J.L.; Jeux Stella; John Jaques of London; John Sands Pty Ltd; Jos. Scholz; Jugoslovenska knjiga; Jumbo; K & C Ltd; Kärnan; Karto; Klee; KOSMOS; Lisciani Giochi; M. Dittert & Co; Majora; McLoughlin Brothers; Medallion Press; Merit; Milton Bradley; Mulder; N.W. Damm & Søn (Damm); Nathan; National Game Company; Noris Spiele; North-South Books; Nürburg Spiele; Nürnberger-Spielkarten-Verlag; Orchard Toys; Orda Industries Ltd.; Otto Maier Verlag; Palet spil; Papita; Parker Brothers; Pestalozzi-Verlag; Piatnik; Pressman Toy Corp.; Prestel Verlag; Ravensburger; Remoundo; Rudolf Forkel KG; Sala; Saml. Gabriel Sons and Company; Saussine Editeur; Schmidt Spiele; Selecta Spielzeug; Spear's Games; SPIKA GmbH; Tactic; Thomas Salter Ltd; Toytown Company; Unger Spiele; Usborne; Verlag Paul Schwarz; Volumétrix; Waddington Sanders Ltd.; Waddingtons; ΕΡ.ΚΑ.Π.; Ο.Β.Ε.Π.Κ.",28702,3.75266,5.23894,376,1.2143,706
