id,title,alternativeTitles,year,publicationDates,humanReadablePublicationDates,languages,originalLanguages,authors,publishers,summary,genres,subjects,playingTimes,targetAudienceNotes,physicalDescriptions,bgg_id,bgg_primary_name,bgg_all_names,bgg_year,bgg_description,bgg_min_players,bgg_max_players,bgg_playing_time,bgg_min_age,bgg_categories,bgg_mechanics,bgg_designers,bgg_publishers,bgg_rank,bgg_average_rating,bgg_bayes_average,bgg_users_rated,bgg_weight,bgg_owned
keski.3376040,Sagrada,,2021,2021,[2021],fin; swe; dan; nor,,"{'primary': {'Andrews, Daryl': {'role': ['-']}, 'Adamescu, Adrian': {'role': ['-']}, 'Wocken, Peter': {'role': ['-']}, 'Tuominen, Soila': {'role': ['-']}}, 'secondary': {'Andrews, Daryl, designer': {'role': ['designer']}, 'Adamescu, Adrian, designer': {'role': ['graafinen suunnittelija']}, 'Wocken, Peter, graafinen suunnittelija, kuvittaja': {'role': ['kääntäjä']}, 'Tuominen, Soila, kääntäjä': {'role': ['-']}}, 'corporate': []}",Floodgate Games,,lautapelit; pelit; perhepelit; yksinpelit; kaksinpelit; kolminpelit; nelinpelit; noppapelit; seurapelit,['kirkkorakennukset']; ['lasimaalaus'],,Ikäsuositus: yli 10-vuotiaille.,1 lautapeli (useita osia kotelossa) ; 30 x 23 x 8 cm + 1 sääntövihko (16 numeroimatonta sivua),199561,Sagrada,Sagrada; Саґрада; Саграда; ซากราดา; サグラダ; 聖家族大教堂 SAGRADA; 사그라다,2017,"Draft dice and use the tools-of-the-trade in Sagrada to carefully construct your stained glass window masterpiece.&#10;&#10;In more detail, each player builds a stained glass window by building up a grid of dice on their player board. Each board has some restrictions on which color or shade (value) of die can be placed there. Dice of the same shade or color may never be placed next to each other. Dice are drafted in player order, with the start player rotating each round, snaking back around aft...",1,4,45,14,Dice; Puzzle,Contracts; Dice Rolling; End Game Bonuses; Grid Coverage; Open Drafting; Pattern Building; Set Collection; Solo / Solitaire Game; Turn Order: Progressive; Variable Set-up,Adrian Adamescu; Daryl Andrews,Floodgate Games; Cranio Creations; CrowD Games; Devir; Engames; FoxGames; Galápagos Jogos; Geekach LLC; Lanlalen; Lex Games; Mandoo Games; Matagot; MEBO Games; MINDOK; MIPL; One Moment Games; Pegasus Spiele; Reflexshop; Yes Papa Games,214,7.47219,7.32809,45080,1.9172,75042
keski.3051052,Sinä olet... junior Alias,Junior Alias,2019,2019,[2019],fin,,"{'primary': [], 'secondary': [], 'corporate': []}",Tactic Games,,pelit; seurapelit; lastenpelit,,,Ikäsuositus: yli 5-vuotiaille.,1 peli (useita osia kotelossa) + 1 sääntölehti,16160,Junior Alias,Junior Alias; Alias Junior; Barn Alias; Børne Alias; Mažųjų Alias; Mitt första Alias; Скажи інакше. Юніор,1994,This game is the children's edition of Alias. The object of the game is to describe and guess pictures to your team mates so that they  can guess as many as possible within one minute.&#10;&#10;Based on Alias.&#10;&#10;,5,8,30,4,Children's Game; Deduction; Party Game; Word Game,Deduction; Track Movement; Action Timer; Communication Limits,Mikko Koivusalo,Tactic; Nelospelit,25555,5.41387,5.49302,119,1,302
keski.2980355,Cirkus Topito,,2017,2017,[2017].,fin; swe; dan; nor,,"{'primary': {'Teubner, Marco': {'role': ['-']}, 'Cardouat, Marie': {'role': ['-']}, 'Westerholm, Oskari': {'role': ['-']}}, 'secondary': {'Teubner, Marco, designer': {'role': ['designer']}, 'Cardouat, Marie, kuvittaja': {'role': ['kuvittaja']}, 'Westerholm, Oskari, kääntäjä': {'role': ['kääntäjä']}}, 'corporate': []}",Korea-Boardgames Co,,pelit; lautapelit,['sirkustaide'],,Ikäsuositus: 7+.,1 lautapeli (useita osia kotelossa),220738,Topito,Topito; Ale cyrk!; Chapito; Circus Topito; Cirkus Topito; Cirkus Topito; 反斗馬戲團; 뒤죽박죽 서커스,2017,"In Topito, players manipulate the circus animals and workers &mdash; represented by giant wooden blocks &mdash; to complete objective cards in their hand. The game includes a number of circus rings in which activities take place, and on a turn a player adds a block to a stack or moves part of a stack onto another stack. If any player, whether active or not, has one of their objective cards met by this move, then they reveal it and draw a new card. If a player drops a block, they must discard a p...",2,4,15,6,Action / Dexterity; Animals; Children's Game,Pattern Building; Stacking and Balancing,Marco Teubner,Korea Boardgames; Broadway Toys LTD; Gigamic; Giochi Uniti; Granna; Lautapelit.fi; Maldito Games,5826,6.65031,5.71061,584,1.125,980
keski.3188691,Opetellaan englantia,,2021,2021,[2021],fin,,"{'primary': [], 'secondary': [], 'corporate': []}",Tactic Games,,pelit; lastenpelit,,,Ikäsuositus: yli 5-vuotiaille.,1 peli (useita osia kotelossa) + 1 sääntölehti,,,,,,,,,,,,,,,,,,,
keski.3266424,Sammakon loikka,,2023,2023,2023.,fin,,"{'primary': [], 'secondary': [], 'corporate': []}",Tactic Games,,lautapelit; pelit,,,Ikäsuositus: yli 3-vuotiaille.,1 lautapeli (useita osia kotelossa),401564,Ensimmäinen pelini: Sammakon loikka,Ensimmäinen pelini: Sammakon loikka; Fikaj i Hycaj,2023,"Hop across the lily pads! The small frogs must go home, but they must cross the pond on their way. Leap across lily pads and roll the die. The lily pads may reveal a surprise!&#10;&#10;The game features four cute wooden frogs and no plastic components. The die roll tells you what to do on your turn: hop to the next free lily pad, sit still for a turn, or flip over a lily pad, which may move you forward, backwards or help the frog in the last place.&#10;&#10;Ensimm&auml;inen pelini: Sammakon loik...",2,4,15,3,Children's Game,Roll / Spin and Move,,Tactic,,5,0,3,1,0
keski.3343311,Peppa Pig memory,,2022,2022,[2022],zxx,,"{'primary': [], 'secondary': [], 'corporate': []}",Ravensburger,,pelit; muistipelit; lastenpelit,,,,1 peli (useita osia kotelossa) ; 19 x 19 x 5 cm,,,,,,,,,,,,,,,,,,,
keski.3394523,Opetellaan ihmeellinen keho,,2025,2025,[2025],fin,,"{'primary': {'Knizia, Reiner': {'role': ['-']}}, 'secondary': {'Knizia, Reiner, designer': {'role': ['designer']}}, 'corporate': []}",Tactic Games,,pelit; lautapelit; lastenpelit,,,Ikäsuositus: 7-99 -vuotiaille.,1 lautapeli (useita osia kotelossa) ; 25 x 25 x 6 cm + 1 sääntövihko (4 sivua),,,,,,,,,,,,,,,,,,,
keski.2884082,Herra Hakkarainen Kimble,,2017,2017,[2017],fin; swe; eng,,"{'primary': [], 'secondary': [], 'corporate': []}",Tactic Games,,pelit; lautapelit,,,,1 lautapeli (useita osia kotelossa) + 1 säännöt (4 sivua),,,,,,,,,,,,,,,,,,,
keski.3336392,Lankulle! = Gå på plankan!,Gå på plankan; Gå på plankan!,2022,2022,[2022],fin; swe,fre,"{'primary': {'Sirieix, Florian': {'role': ['-']}, 'Turpin, Benoit': {'role': ['-']}, 'Chaussy, Camille': {'role': ['-']}, 'Machepy, Allison': {'role': ['-']}}, 'secondary': {'Sirieix, Florian, designer': {'role': ['designer']}, 'Turpin, Benoit, designer': {'role': ['kuvittaja']}, 'Chaussy, Camille, kuvittaja': {'role': ['graafinen suunnittelija']}, 'Machepy, Allison, graafinen suunnittelija': {'role': ['-']}}, 'corporate': []}",The Flying Games,"Pelaajat ovat merirosvonorsuja, jotka yrittävät varastaa aarteita Kapteeni Kirahvin arkusta. He yrittävät vierittää syyn muiden niskoille - mutta heidän on varottava etteivät jää kiinni, sillä silloin he joutuvat lankulle! Aina kun yksi pelaaja onnistuu varastamaan aarteita, muut saavat painoja lankkujensa päihin.. ja lankkuhan saattaa keikahtaa... Ensimmäisenä veteen putoava merirosvo häviääkin pelin.; Olette ilkikurisia merirosvoja, jotka pihistävät aarteita Kapteeni Kirahvin arkusta. Yrittäkää kaataa syyt muiden niskoille, mutta varokaa jäämästä kiinni, ettette joudu lankulle! Aina kun joku onnistuu pihistämään aarteita, muut pelaajat saavat painoja lankkujensa päihin... ja lankku saattaa keikahtaa... Mutta jos olet liian ahne (tai huonotuurinen), joudutkin itse lähemmäs veteen putoamista! Ensimmäisenä veteen molskahtava merirosvo häviää pelin!",lastenpelit; seikkailupelit; lautapelit; pelit; perhepelit; kaksinpelit; kolminpelit; nelinpelit; näppäryyspelit,['merirosvot']; ['aarteet']; ['varkaus']; ['kilpailu']; ['uhat']; ['putoaminen']; ['merirosvolaivat']; ['norsut'],,Ikäsuositus: yli 5-vuotiaille.,"1 lautapeli (useita osia kotelossa) ; 28 x 20 x 6 cm + 2 sääntövihkoa (4, 4 numeroimatonta sivua)",367771,Stomp the Plank,Stomp the Plank; Deszkalózok: Csak semmi fánik!; Elefantes al Tablón; Gå på plankan!; Gå på planken!; Lankulle!; Pirata Splash; Piratenplank; La Planche des Pirates; Planken-Plumpser; Slon přes palubu; Tromba N'Água; Ανέβα στη Σανίδα; Слоны-пираты; 有隻象仔跌落水 海盜象與尋寶箱; 쿵쿵쿵 코끼리 해적단,2022,"You are young and mischievous pirates. Try to steal treasures from captain Giraffe&rsquo;s chest while accusing your fellow pirates. But be careful because if you get caught, you&rsquo;ll walk the plank! For each treasure you manage to steal, your opponent will end up with a crate at the end of their plank...which might just tip over... The first one to fall loses the game!&#10;&#10;Each turn, draw as many cards as you want from the captain's chest. The more you draw, the more crates your oppone...",2,4,20,5,Action / Dexterity; Adventure; Animals; Children's Game; Pirates,Push Your Luck; Single Loser Game; Sudden Death Ending; Take That,Florian Sirieix; Benoit Turpin,"The Flying Games; Ravensburger; Cranio Creations; Evrikus; Galápagos Jogos; Gém Klub Kft.; Jolly Thinkers; Kaissa Chess & Games; Lautapelit.fi; Maldito Games; MINDOK; More Fun Co., Ltd.; MTS Games; Spilbræt.dk",4128,6.89556,5.84975,776,1,1645
keski.3051048,Pipsa Possu: kuralätäkkö,,2019,2019,[2019],fin,,"{'primary': [], 'secondary': [], 'corporate': []}",Tactic Games,,pelit; lastenpelit; lautapelit,,,Ikäsuositus: yli 3-vuotiaille.,1 peli (useita osia kotelossa) + 1 sääntölehti,328217,Pipsa Possu: Kuralätäkkö,Pipsa Possu: Kuralätäkkö,2019,It's time for a mudbath! Drop Peppa into the puddle and try to splash mud on characters around the puddle. You will get a prize token for every succesful splash. First to splash mud on every character is the winner of the game!&#10;&#10;Includes a challenging game for more experienced gamers.&#10;&#10;,2,4,20,3,Action / Dexterity; Children's Game,,Forrest-Pruzan Creative,Tactic,,5.33333,0,3,0,1
keski.3146046,Mörköjahti,,2020,2020,©2018,fin; swe,und,"{'primary': {'Bauza, Antoine': {'role': ['-']}, 'Nikao': {'role': ['-']}}, 'secondary': {'Bauza, Antoine, designer': {'role': ['designer']}, 'Nikao, kuvittaja': {'role': ['kuvittaja']}}, 'corporate': []}",,"Hus, möröt komeroon! Etsikää yhdessä oikeat lelut ja säikäyttäkää möröt takaisin komeroon.",lautapelit; pelit; yhteistyöpelit; lastenpelit; muistipelit,['kummitukset']; ['leikkikalut'],,Ikäsuositus 4+.,1 lautapeli (useita osia kotelossa) ; 19 x 19 x 5 cm 2 sääntöarkkia,43578,Monster Chase,"Monster Chase; Caça aos Monstros; La Chasse aux Monstres; Monster Chase!; Monster unterm Bett; Monsterjakten; Mörköjahti; Potwory do szafy; Příšerky ze skříně; Scaccia I Mostri!; Szörnyszekrény; Το τέρας στην ντουλάπα; Лов на Таласъми; Монстри, до шафи!; 怪獸來敲門; 몬스터 체이스",2009,"Monster Chase is a cooperative memory game for players 3 to 7 years old. In the game, monsters creep out from under the bed and try to surround it. Each monster is only afraid of one toy that will banish it to the closet amongst the ten that are available to be found. If the players successfully send all the monsters to the closet before they can close the circle around the bed, they win! Otherwise, the monsters are declared victorious.&#10;&#10;In game terms, face-down cards are placed on the t...",1,6,10,4,Children's Game; Fantasy; Memory,Cooperative Game; Memory,Antoine Bauza,Scorpion Masqué; Belleville (Бельвіль); DiceTree Games; Fantasmagoria; Galápagos Jogos; Ghenos Games; GoKids 玩樂小子; Granna; Heidelberger Spieleverlag; IELLO; Kaissa Chess & Games; Lautapelit.fi; Oliphante,4915,6.30541,5.77458,1261,1.0169,2861
keski.3211666,Laiva on lastattu : opetellaan kirjaimia ja sanoja,,2022,2022,[2022],fin,,"{'primary': [], 'secondary': [], 'corporate': []}",Sanoma Pro oy,,pelit; lastenpelit,,,Ikäsuositus: 5-8-vuotiaille.,1 peli (useita osia kotelossa) + 1 taitelehti,,,,,,,,,,,,,,,,,,,
