finna_id,bgg_id,match_type
keski.3390766,,none
keski.3390766,,none
keski.3390766,,none
keski.3390766,,none
keski.3390766,,none
keski.3376040,107448,exact
keski.3051052,16160,exact
keski.2980355,220738,exact
keski.3188691,,none
keski.3266424,401564,substring
keski.3343311,,none
keski.3394523,,none
keski.2884082,,none
keski.3336392,367771,exact
keski.3051048,328217,exact
keski.3146046,43578,exact
keski.3211666,,none
keski.3333497,431152,exact
keski.3200445,,none
keski.2556198,36218,exact
keski.2856547,1406,substring
keski.3068002,179701,exact
keski.2613979,9209,exact
keski.3122570,1219,exact
keski.3252205,257842,exact
keski.3382056,201808,exact
keski.3243850,,none
keski.3255712,1219,exact
keski.3374397,,none
keski.2939310,234120,exact
keski.3166309,,none
keski.3371317,,none
keski.3307188,51386,substring
keski.3151294,318977,exact
keski.3166297,,none
keski.2983948,233070,exact
keski.3382067,338960,exact
keski.3374398,239307,exact
keski.3259385,,none
keski.3259397,386469,exact
keski.3173726,,none
keski.3321421,386761,exact
keski.3032627,286422,exact
keski.3376041,395256,exact
keski.2612212,,none
keski.3287003,21550,exact
keski.3266425,,none
keski.3015015,,none
keski.3032632,12942,exact
keski.3253474,1218,exact
keski.3382203,,none
keski.3394525,,none
keski.3263794,9209,exact
keski.2828111,2223,exact
keski.2880909,,none
keski.2956481,257099,exact
keski.3014984,230802,exact
keski.2612209,1219,exact
keski.2485552,16986,exact
keski.3361878,,none
keski.3137527,335248,exact
keski.3088789,432,exact
keski.2792670,,none
keski.3128851,346021,exact
keski.3336393,,none
keski.2823487,199478,exact
keski.2918075,31260,exact
keski.3405326,,none
keski.3394517,,none
keski.3200432,,none
keski.3233965,33414,exact
keski.3114217,,none
keski.3114216,380702,exact
keski.3068718,98917,exact
keski.2696139,117558,exact
keski.2631710,5130,exact
keski.3139532,205418,exact
keski.3254124,,none
keski.3199183,142057,exact
keski.3342147,364113,exact
keski.2799393,,none
keski.3227930,204498,exact
keski.2920643,,none
keski.2556196,320,exact
keski.3032628,,none
keski.2880904,182605,exact
keski.2850195,,none
keski.3394521,,none
keski.3141267,14996,exact
keski.2953633,326048,exact
keski.2918074,193738,exact
keski.3249449,377330,exact
keski.3224224,365514,exact
keski.2612210,54137,exact
keski.2999158,,none
keski.2864026,4143,exact
keski.2613962,127997,exact
keski.2477070,52626,exact
keski.2980331,,none
keski.2704516,5782,exact
keski.3188687,349495,substring
keski.3215386,52607,exact
keski.2880911,5130,exact
keski.2747374,41916,exact
keski.3238632,4143,exact
keski.3287014,,none
keski.3366448,363357,exact
keski.3238631,,none
keski.2456600,17329,exact
keski.3067471,256226,exact
keski.3252210,131484,exact
keski.2649031,120933,substring
keski.2612205,,none
keski.3200453,199913,exact
keski.3307189,,none
keski.2569969,2397,exact
keski.2672673,56197,exact
keski.2857069,13,exact
keski.3367394,,none
keski.3244664,,none
keski.3374404,,none
keski.3252180,300300,exact
keski.3106957,266192,exact
keski.3266435,405305,exact
keski.2696137,,none
keski.3376060,,none
keski.2823492,40935,exact
keski.2923565,5894,exact
keski.3335526,,none
keski.2704507,156009,exact
keski.2792658,191538,exact
keski.3341750,63268,exact
keski.3068003,,none
keski.3394742,302425,exact
keski.3371319,,none
keski.3382065,197831,exact
keski.2856531,206850,exact
keski.3318087,,none
keski.3287005,313963,exact
keski.3214151,,none
keski.2704510,438,exact
keski.2960767,324680,exact
keski.2856545,7417,exact
keski.2884083,,none
keski.3151288,118568,exact
keski.2792621,171,exact
keski.2613982,148228,exact
keski.3307187,,none
keski.3207390,13,exact
keski.2938435,209685,exact
keski.3165520,284299,exact
keski.3263793,375442,exact
keski.3101988,,none
keski.3236512,,none
keski.3333492,336986,exact
keski.2825215,39856,exact
keski.2649030,3818,exact
keski.3328064,,none
keski.3336396,328479,exact
keski.3359717,1269,exact
keski.3266423,,none
keski.2754696,70919,exact
keski.3034956,244992,exact
keski.3151289,98026,exact
keski.3051053,,none
keski.2743133,184920,exact
keski.3307191,,none
keski.2960770,289359,exact
keski.2612208,41010,exact
keski.2704526,91523,exact
keski.3174532,133473,exact
keski.2745587,,none
keski.3218849,,none
keski.3259380,,none
keski.2649034,1410,exact
keski.3382060,,none
keski.3371320,430160,exact
keski.3236509,338678,exact
keski.2792671,2001,exact
keski.3234171,,none
keski.3252207,91514,exact
keski.2773677,,none
keski.2754595,822,exact
keski.2898244,70323,exact
keski.2717814,8203,exact
keski.2678434,3,exact
keski.2804806,178900,exact
keski.2857328,219338,exact
keski.3335527,,none
keski.3255711,311659,exact
keski.3200451,328624,exact
keski.2889500,,none
keski.3233962,,none
keski.3166308,370935,exact
keski.2696087,25236,exact
keski.3051042,290896,exact
keski.2624381,117555,exact
keski.3394520,,none
keski.2823486,128882,exact
keski.2953639,,none
keski.3405771,,none
keski.3371314,,none
keski.2717823,98778,exact
keski.2948985,178453,exact
keski.3158421,271324,exact
keski.3347603,,none
keski.3361877,,none
keski.3034347,,none
keski.3151291,253664,exact
keski.2477125,1410,exact
keski.3365380,410220,exact
keski.3067474,354253,exact
keski.2613984,478,exact
keski.3382058,316554,exact
keski.3382059,410201,exact
keski.2939636,169436,exact
keski.2792596,177524,exact
keski.3146047,284435,exact
keski.3151293,350883,substring
keski.3010240,260942,exact
keski.3031763,241491,exact
keski.2672674,133337,exact
keski.3371316,,none
keski.2823488,155426,exact
keski.3123730,5867,exact
keski.3032636,228867,exact
keski.3052922,10372,exact
keski.2823660,207338,exact
keski.3034940,,none
keski.3174529,300010,exact
keski.2960762,,none
keski.3101980,,none
keski.2556200,822,exact
keski.3241315,39856,exact
keski.3101982,,none
keski.3122646,269603,exact
keski.3146053,,none
keski.3374396,342942,exact
keski.3374395,93,exact
keski.3199798,,none
keski.3374402,26681,exact
keski.2939309,172893,exact
keski.3382207,,none
keski.3034953,,none
keski.2704505,171499,exact
keski.2880902,192245,exact
keski.3139533,95527,exact
keski.2823663,191894,exact
keski.2670537,3818,exact
keski.3361883,381893,exact
keski.3256042,28238,exact
keski.3336397,378200,exact
keski.3262867,302417,substring
keski.2805450,,none
keski.3376038,,none
keski.2947403,171665,exact
keski.3333487,348503,exact
keski.3266420,,none
keski.3067473,269069,exact
keski.3343310,437534,substring
keski.2880910,248702,exact
keski.2792659,8563,exact
keski.2956275,2511,exact
keski.2704503,173346,exact
keski.2678422,129622,exact
keski.2717824,136243,exact
keski.3307182,171,exact
keski.3371312,448529,exact
keski.3371313,,none
keski.3034955,39734,exact
keski.2696335,71272,exact
keski.3374400,,none
keski.2775571,66499,exact
keski.2810693,40628,exact
keski.3405770,,none
keski.2792673,199793,exact
keski.3032642,218576,exact
keski.3374405,,none
keski.3376061,244522,exact
keski.3166306,65339,substring
keski.3146051,271774,exact
keski.3088595,,none
keski.2980353,,none
keski.3382057,269385,exact
keski.3263795,,none
keski.2848316,331562,exact
keski.3238629,312484,exact
keski.3137528,,none
keski.3376062,122298,exact
keski.3405764,225828,exact
keski.3032631,265683,exact
keski.2953634,20281,exact
keski.2612214,8652,exact
keski.2624386,320,exact
keski.3239059,307277,exact
keski.3361881,,none
keski.2612216,6931,exact
keski.3259393,,none
keski.3287012,,none
keski.3382061,,none
keski.3266434,449754,exact
keski.3137530,,none
keski.2704515,174660,exact
keski.2856614,31497,exact
keski.3188692,367182,exact
keski.3052924,252929,exact
keski.3199177,2792,exact
keski.3405767,,none
keski.3361879,,none
keski.3178230,6931,exact
keski.2696134,,none
keski.2905263,,none
keski.3394522,,none
keski.3405489,,none
keski.2721174,2944,exact
keski.3032626,256065,exact
keski.2953640,317439,exact
keski.2743137,5082,exact
keski.2792692,147303,exact
keski.3034950,,none
keski.2989146,284593,exact
keski.3267182,320819,exact
keski.3199179,,none
keski.3252178,,none
keski.3259079,38026,exact
keski.2953643,334335,exact
keski.3256038,25792,exact
keski.2696334,107529,exact
keski.3015029,253284,exact
keski.3318086,320,exact
keski.2880905,191687,exact
keski.2792696,144588,exact
keski.3371315,,none
keski.3015016,88298,exact
keski.3051041,,none
keski.3336385,244521,exact
keski.2839795,,none
keski.2704519,27532,exact
keski.3055010,289231,exact
keski.3405766,,none
keski.3405765,382052,exact
keski.2696105,39400,exact
keski.3411833,,none
keski.3257623,,none
keski.3256239,296115,exact
keski.3114209,,none
keski.2556201,9795,exact
keski.3405490,382183,exact
keski.2556197,36946,exact
keski.3381314,,none
keski.3376803,,none
keski.3405769,,none
keski.3266433,,none
keski.3129640,206940,exact
keski.3335816,,none
keski.3077819,294612,exact
keski.3249445,,none
keski.2839779,,none
keski.2717825,2651,exact
keski.2819565,39636,exact
keski.2956274,198740,exact
keski.512492,37120,exact
keski.3146052,224037,exact
keski.2971289,,none
keski.2880907,224011,exact
keski.3381315,,none
keski.2696138,158899,exact
keski.3200449,405728,exact
keski.3394519,,none
keski.2880917,,none
keski.3259395,376754,exact
keski.3067472,266083,exact
keski.2678410,29223,exact
keski.2792642,324662,exact
keski.2823604,191862,exact
keski.2704535,40834,exact
keski.3215394,344233,exact
keski.2811622,,none
keski.2996830,,none
keski.3396290,,none
keski.3067470,269595,exact
keski.2613983,68448,exact
keski.512490,12346,exact
keski.3263790,338834,exact
keski.3146050,167791,exact
keski.3128848,,none
keski.3146048,67877,exact
keski.3335525,81263,exact
keski.3342146,273065,exact
keski.3173732,5432,exact
keski.2792622,191004,exact
keski.3123738,,none
keski.2792699,86542,exact
keski.2969468,220700,exact
keski.3146054,256788,exact
keski.3068719,,none
keski.3411151,,none
keski.3252181,302312,exact
keski.3405768,,none
keski.3199174,275281,exact
keski.3251543,266177,exact
keski.3274215,,none
keski.3015030,276894,exact
keski.3146049,21763,exact
keski.2977797,14383,exact
keski.2670543,,none
keski.3410594,,none
keski.2612206,,none
keski.2743155,142399,exact
keski.3233970,,none
keski.2904040,,none
keski.3215388,,none
keski.2918073,178900,exact
keski.3374399,350636,exact
keski.3032624,260710,exact
keski.3172417,,none
keski.3374401,1653,exact
keski.2756370,,none
keski.3266437,66551,exact
keski.3243844,,none
keski.3252179,302098,exact
keski.3193651,68448,exact
keski.3068004,,none
keski.3141661,,none
keski.3211675,19307,exact
keski.2892636,,none
keski.2977798,142399,exact
keski.2953632,238883,exact
keski.2825220,188465,exact
keski.2704501,181304,exact
keski.2823491,,none
keski.512493,38579,exact
keski.3266419,301568,exact
keski.2856530,,none
keski.2667396,168905,exact
keski.2613998,10750,exact
keski.3151292,240094,exact
keski.3335813,,none
keski.2975820,,none
keski.3114215,319709,exact
keski.3394524,,none
keski.3333494,,none
keski.3394518,,none
keski.3068001,233867,exact
keski.3263717,,none
keski.2829642,,none
keski.2856637,,none
keski.3382053,223931,exact
keski.3379976,,none
keski.3405511,101239,exact
keski.3313455,218380,substring
keski.3394514,,none
keski.3394515,,none
keski.3333491,,none
keski.3238630,27225,exact
keski.3256244,269620,exact
keski.2477069,2763,exact
keski.3365378,,none
keski.2856534,204583,exact
keski.2861297,15817,exact
keski.3394516,421084,exact
keski.3371322,402697,exact
keski.3333495,,none
keski.3287011,,none
keski.3274681,,none
keski.3274692,,none
keski.3224229,,none
keski.3224223,,none
keski.3224228,447691,exact
keski.3173733,,none
keski.2776618,,none
keski.3381979,246900,exact
keski.2682921,178938,exact
keski.3128847,17705,exact
keski.3371321,,none
keski.2938433,,none
keski.3215391,,none
keski.2969472,,none
keski.2743135,191572,exact
keski.2704534,104006,exact
keski.2612211,153002,exact
keski.2695941,,none
keski.3146429,265683,exact
keski.2692463,823,exact
keski.2556207,811,exact
keski.2613963,18833,exact
keski.3166307,,none
keski.3336395,325382,exact
keski.2977799,,none
keski.3371671,,none
keski.3382054,27627,exact
keski.3173881,,none
keski.2614001,127312,exact
keski.3114218,,none
keski.2923594,,none
keski.3340388,354328,exact
keski.3031764,148228,exact
keski.2613985,65244,exact
keski.3068716,43240,exact
keski.2848286,182380,exact
keski.3199803,21790,exact
keski.3090781,65244,exact
keski.2612202,,none
keski.3381981,354570,exact
keski.2856638,217449,exact
keski.3146045,298624,exact
keski.2704533,3955,exact
keski.3254122,,none
keski.3192666,,none
keski.3287006,410167,substring
keski.3342145,400875,exact
keski.3215390,,none
keski.2989141,,none
keski.3137523,,none
keski.3137524,,none
keski.3021523,,none
keski.3045420,,none
keski.2459388,83117,exact
keski.2782872,,none
keski.2722075,12346,exact
keski.512484,13,exact
keski.3162573,,none
keski.2555522,145325,exact
keski.2717827,125675,exact
keski.3167651,20022,exact
keski.3197133,112,exact
keski.3309893,,none
keski.3341751,,none
keski.2743134,25669,exact
keski.2743156,,none
keski.2823662,83629,exact
keski.2880912,100278,exact
keski.3034332,378329,substring
keski.3038993,254227,exact
keski.2502087,130680,exact
keski.3101991,,none
keski.2856543,28565,exact
keski.3249454,,none
keski.3365379,,none
keski.3390915,,none
keski.3390916,,none
keski.3390918,,none
keski.3390919,,none
keski.2918078,198454,exact
keski.2704506,147151,exact
keski.3032630,218603,exact
keski.2982176,,none
keski.2960761,,none
keski.2696089,134453,exact
keski.3055011,,none
keski.2679995,182380,exact
keski.3388300,37358,exact
keski.3381313,424619,substring
keski.3336394,381480,substring
keski.3335817,,none
keski.2556195,,none
keski.3287004,375505,exact
keski.2823659,203780,exact
keski.2696337,,none
keski.3031753,163412,exact
keski.2704517,,none
keski.3254136,,none
keski.3277192,,none
keski.3239058,86522,exact
keski.3317566,,none
keski.3381980,233078,exact
keski.512481,,none
keski.3382055,386425,exact
keski.3382066,,none
keski.3382072,83330,exact
keski.2613980,118,exact
keski.3382204,,none
keski.2873729,2386,exact
keski.3244467,,none
keski.3166404,182172,exact
keski.3382208,,none
keski.2856528,1115,exact
keski.3088078,,none
keski.3361884,,none
keski.3200430,,none
keski.3394744,,none
keski.3173730,,none
keski.3114208,320515,exact
keski.2824486,,none
keski.2948993,,none
keski.2977800,,none
keski.3374406,271615,substring
keski.3252184,98778,exact
keski.2556202,,none
keski.2850194,17597,exact
keski.3377645,11028,exact
keski.3342148,133687,exact
keski.2452231,39856,exact
keski.3259004,204836,exact
keski.2999154,,none
keski.3376039,,none
keski.3373036,,none
keski.3249455,,none
keski.2556206,14996,exact
keski.2678437,92828,exact
keski.3139186,225244,exact
keski.3215395,2763,exact
keski.3343312,,none
keski.2704531,66188,exact
keski.3267402,5894,exact
keski.2556209,165320,exact
keski.3158230,18784,substring
keski.3249452,,none
keski.3365381,,none
keski.3365377,2452,exact
keski.2452232,2453,exact
keski.2678420,,none
keski.3282857,,none
keski.3139187,9209,exact
keski.3335815,,none
keski.3190178,,none
keski.3190169,,none
keski.3274691,,none
keski.3274697,,none
keski.3259384,,none
keski.3259389,,none
keski.3215384,362858,substring
keski.3215383,362859,substring
keski.3173734,,none
keski.3166303,382183,exact
keski.3114212,,none
keski.3032604,244331,exact
keski.2981527,,none
keski.3200431,213460,exact
keski.2869998,,none
keski.2766200,,none
keski.2743667,,none
keski.3354773,,none
keski.3358824,,none
keski.2787037,,none
keski.2774404,,none
keski.3354996,,none
keski.3173878,,none
keski.3040501,,none
keski.3055005,301122,exact
keski.2678409,,none
keski.2569968,171,exact
keski.3015574,7960,exact
keski.2879532,1410,exact
keski.2923931,,none
keski.3254335,,none
keski.2502086,,none
keski.2667397,199868,exact
keski.2729067,,none
keski.2677296,,none
keski.2677247,7688,exact
keski.2649033,267862,exact
keski.2649035,1410,exact
keski.2756384,,none
keski.3021514,,none
keski.3215389,,none
keski.3346282,,none
keski.3346279,,none
keski.3346273,,none
keski.3346274,,none
keski.3346275,,none
keski.3346272,406512,exact
keski.2948987,,none
keski.2948988,,none
keski.2860681,20182,exact
keski.2848285,,none
keski.3336401,,none
keski.3077825,314169,exact
keski.3171806,,none
keski.2893847,,none
keski.2948989,142399,exact
keski.2743141,193659,exact
keski.2793081,372346,substring
keski.3329538,18784,substring
keski.3220476,,none
keski.2612200,,none
keski.547467,107007,exact
keski.2792595,3818,exact
keski.2719337,,none
keski.2732903,169250,exact
keski.2805449,,none
keski.3322661,,none
keski.3321754,,none
keski.3321549,,none
keski.3077821,,none
keski.3008638,,none
keski.3125569,439012,exact
keski.3173725,,none
keski.3051049,,none
keski.2753757,,none
keski.2753756,,none
keski.3295469,,none
keski.3034957,,none
keski.3293814,403354,exact
keski.3274690,,none
keski.3171726,14383,exact
keski.3171908,,none
keski.3215385,401150,exact
keski.3266428,351067,exact
keski.3259387,,none
keski.3285038,,none
keski.3279111,,none
keski.3279112,153071,exact
keski.3333488,370770,exact
keski.3266436,,none
keski.264355,,none
keski.3123734,,none
keski.3273051,,none
keski.3274081,,none
keski.3263796,,none
keski.3258329,349797,exact
keski.3258859,,none
keski.3259006,429269,exact
keski.3254135,34127,exact
keski.3254137,243175,exact
keski.3252182,811,exact
keski.3252183,20952,exact
keski.3252185,,none
keski.3252186,,none
keski.3252188,,none
keski.3252190,,none
keski.3252191,,none
keski.3252192,,none
keski.3252193,,none
keski.3252194,,none
keski.3252195,,none
keski.3252196,,none
keski.3252197,,none
keski.3252198,,none
keski.3252202,,none
keski.3247266,2386,exact
keski.3245681,171,exact
keski.3234158,272516,exact
keski.3234159,122524,exact
keski.3234987,33624,exact
keski.3235069,118258,exact
keski.3228750,,none
keski.3228751,,none
keski.3223062,171,exact
keski.3226738,,none
keski.3220469,,none
keski.3220475,,none
keski.3220477,,none
keski.3215387,,none
keski.3211670,301444,exact
keski.3203271,,none
keski.3199180,239188,exact
keski.3199181,271615,substring
keski.3192665,1613,exact
keski.3191511,,none
keski.3191533,,none
keski.3173731,,none
keski.3174043,,none
keski.3173876,,none
keski.3172336,131367,substring
keski.3172482,,none
keski.3172980,,none
keski.3173879,,none
keski.3173880,,none
keski.3174042,,none
keski.3174044,14682,exact
keski.3174045,,none
keski.3171907,,none
keski.3166378,,none
keski.3167650,,none
keski.3165145,,none
keski.3158231,,none
keski.3151290,259809,exact
keski.3152463,822,exact
keski.3146055,,none
keski.3141263,9209,exact
keski.3117536,151016,exact
keski.3105614,15151,exact
keski.3105638,,none
keski.3084071,,none
keski.3088557,130240,exact
keski.3077822,,none
keski.3077823,,none
keski.3077824,151505,exact
keski.3077827,,none
keski.3077828,,none
keski.3077829,,none
keski.3077830,,none
keski.3077831,,none
keski.3078070,,none
keski.3051044,261333,substring
keski.3051045,,none
keski.3037611,,none
keski.3034947,,none
keski.3034945,,none
keski.3034948,,none
keski.3034959,,none
keski.3032641,19427,exact
keski.3032633,,none
keski.3032637,,none
keski.3032638,,none
keski.3032639,257814,exact
keski.3032640,29242,exact
keski.3031265,,none
keski.3019564,,none
keski.2983946,341257,substring
keski.2983947,,none
keski.2978931,150376,exact
keski.2980354,171,exact
keski.2978624,234673,exact
keski.2960760,,none
keski.2960768,,none
keski.2960765,,none
keski.2963938,381532,exact
keski.2950184,,none
keski.2948990,,none
keski.2948991,,none
keski.2948992,,none
keski.2948995,,none
keski.2927810,,none
keski.2929658,168906,exact
keski.2929659,13373,exact
keski.2930812,,none
keski.2931007,,none
keski.2931336,,none
keski.2923953,,none
keski.2923987,43297,exact
keski.2923988,,none
keski.2926691,,none
keski.2923589,,none
keski.2922499,,none
keski.2922500,,none
keski.2922881,60697,exact
keski.2919327,7688,exact
keski.2918076,85295,exact
keski.2918077,2386,exact
keski.2919328,,none
keski.2915703,39342,exact
keski.2908798,225924,exact
keski.2905814,,none
keski.2905815,,none
keski.2905816,,none
keski.2903933,10582,exact
keski.2895846,,none
keski.2895849,,none
keski.2892665,,none
keski.2892666,,none
keski.2893832,,none
keski.2893833,,none
keski.2893834,,none
keski.2893839,,none
keski.2893840,,none
keski.2893841,,none
keski.2893842,,none
keski.2893843,,none
keski.2893844,,none
keski.2893846,,none
keski.2894294,,none
keski.2879729,,none
keski.2879563,,none
keski.2880916,25458,substring
keski.2880918,,none
keski.2880919,,none
keski.2880920,,none
keski.2880922,,none
keski.2880923,,none
keski.2875697,,none
keski.2863062,,none
keski.2863539,,none
keski.2856532,,none
keski.2856533,,none
keski.2857377,134724,exact
keski.2850193,15020,exact
keski.2852560,,none
keski.2845897,,none
keski.2829993,,none
keski.2829994,,none
keski.2830034,,none
keski.2823661,123540,exact
keski.2823664,811,exact
keski.2825221,,none
keski.2825222,,none
keski.2811689,17597,exact
keski.2804915,27069,exact
keski.2805079,,none
keski.2793082,161090,exact
keski.2793083,,none
keski.2793348,,none
keski.2792702,,none
keski.2792703,,none
keski.2782902,,none
keski.2762585,,none
keski.2762586,,none
keski.2764786,,none
keski.2764916,21424,exact
keski.2764917,,none
keski.2753670,,none
keski.2754707,,none
keski.2747344,,none
keski.2743139,124563,exact
keski.2740845,2719,exact
keski.2720705,,none
keski.2720911,,none
keski.2721769,,none
keski.2717810,40993,exact
keski.2717811,,none
keski.2717812,,none
keski.2717813,,none
keski.2717816,,none
keski.2717818,,none
keski.2717820,,none
keski.2717821,58019,exact
keski.2717822,310300,exact
keski.2717826,122599,exact
keski.2700294,13447,exact
keski.2700417,32860,exact
keski.2695944,150,exact
keski.2696133,,none
keski.2696135,5251,exact
keski.2696080,,none
keski.2696128,,none
keski.2696132,,none
keski.2678417,152247,exact
keski.2678436,6249,exact
keski.2613999,70919,exact
keski.2560512,171,exact
keski.130592,,none
keski.3249446,,none
keski.3233966,235070,exact
keski.3164809,4077,exact
keski.3145352,,none
keski.3065910,,none
keski.2743151,118705,exact
keski.3101981,,none
keski.2799392,,none
keski.3051054,,none
keski.2848284,,none
keski.2823490,211913,exact
keski.2792597,111999,exact
keski.2477072,119500,exact
keski.2502083,3818,exact
keski.3000732,164956,exact
