id,title,alternativeTitles,year,publicationDates,humanReadablePublicationDates,languages,originalLanguages,authors,publishers,summary,genres,subjects,playingTimes,targetAudienceNotes,physicalDescriptions
keski.3376040,Sagrada,,2021,2021,[2021],fin; swe; dan; nor,,"{'primary': {'Andrews, Daryl': {'role': ['-']}, 'Adamescu, Adrian': {'role': ['-']}, 'Wocken, Peter': {'role': ['-']}, 'Tuominen, Soila': {'role': ['-']}}, 'secondary': {'Andrews, Daryl, designer': {'role': ['designer']}, 'Adamescu, Adrian, designer': {'role': ['graafinen suunnittelija']}, 'Wocken, Peter, graafinen suunnittelija, kuvittaja': {'role': ['kääntäjä']}, 'Tuominen, Soila, kääntäjä': {'role': ['-']}}, 'corporate': []}",Floodgate Games,,lautapelit; pelit; perhepelit; yksinpelit; kaksinpelit; kolminpelit; nelinpelit; noppapelit; seurapelit,['kirkkorakennukset']; ['lasimaalaus'],,Ikäsuositus: yli 10-vuotiaille.,1 lautapeli (useita osia kotelossa) ; 30 x 23 x 8 cm + 1 sääntövihko (16 numeroimatonta sivua)
keski.3051052,Sinä olet... junior Alias,Junior Alias,2019,2019,[2019],fin,,"{'primary': [], 'secondary': [], 'corporate': []}",Tactic Games,,pelit; seurapelit; lastenpelit,,,Ikäsuositus: yli 5-vuotiaille.,1 peli (useita osia kotelossa) + 1 sääntölehti
keski.2980355,Cirkus Topito,,2017,2017,[2017].,fin; swe; dan; nor,,"{'primary': {'Teubner, Marco': {'role': ['-']}, 'Cardouat, Marie': {'role': ['-']}, 'Westerholm, Oskari': {'role': ['-']}}, 'secondary': {'Teubner, Marco, designer': {'role': ['designer']}, 'Cardouat, Marie, kuvittaja': {'role': ['kuvittaja']}, 'Westerholm, Oskari, kääntäjä': {'role': ['kääntäjä']}}, 'corporate': []}",Korea-Boardgames Co,,pelit; lautapelit,['sirkustaide'],,Ikäsuositus: 7+.,1 lautapeli (useita osia kotelossa)
keski.3188691,Opetellaan englantia,,2021,2021,[2021],fin,,"{'primary': [], 'secondary': [], 'corporate': []}",Tactic Games,,pelit; lastenpelit,,,Ikäsuositus: yli 5-vuotiaille.,1 peli (useita osia kotelossa) + 1 sääntölehti
keski.3266424,Sammakon loikka,,2023,2023,2023.,fin,,"{'primary': [], 'secondary': [], 'corporate': []}",Tactic Games,,lautapelit; pelit,,,Ikäsuositus: yli 3-vuotiaille.,1 lautapeli (useita osia kotelossa)
keski.3343311,Peppa Pig memory,,2022,2022,[2022],zxx,,"{'primary': [], 'secondary': [], 'corporate': []}",Ravensburger,,pelit; muistipelit; lastenpelit,,,,1 peli (useita osia kotelossa) ; 19 x 19 x 5 cm
keski.3394523,Opetellaan ihmeellinen keho,,2025,2025,[2025],fin,,"{'primary': {'Knizia, Reiner': {'role': ['-']}}, 'secondary': {'Knizia, Reiner, designer': {'role': ['designer']}}, 'corporate': []}",Tactic Games,,pelit; lautapelit; lastenpelit,,,Ikäsuositus: 7-99 -vuotiaille.,1 lautapeli (useita osia kotelossa) ; 25 x 25 x 6 cm + 1 sääntövihko (4 sivua)
keski.2884082,Herra Hakkarainen Kimble,,2017,2017,[2017],fin; swe; eng,,"{'primary': [], 'secondary': [], 'corporate': []}",Tactic Games,,pelit; lautapelit,,,,1 lautapeli (useita osia kotelossa) + 1 säännöt (4 sivua)
keski.3336392,Lankulle! = Gå på plankan!,Gå på plankan; Gå på plankan!,2022,2022,[2022],fin; swe,fre,"{'primary': {'Sirieix, Florian': {'role': ['-']}, 'Turpin, Benoit': {'role': ['-']}, 'Chaussy, Camille': {'role': ['-']}, 'Machepy, Allison': {'role': ['-']}}, 'secondary': {'Sirieix, Florian, designer': {'role': ['designer']}, 'Turpin, Benoit, designer': {'role': ['kuvittaja']}, 'Chaussy, Camille, kuvittaja': {'role': ['graafinen suunnittelija']}, 'Machepy, Allison, graafinen suunnittelija': {'role': ['-']}}, 'corporate': []}",The Flying Games,"Pelaajat ovat merirosvonorsuja, jotka yrittävät varastaa aarteita Kapteeni Kirahvin arkusta. He yrittävät vierittää syyn muiden niskoille - mutta heidän on varottava etteivät jää kiinni, sillä silloin he joutuvat lankulle! Aina kun yksi pelaaja onnistuu varastamaan aarteita, muut saavat painoja lankkujensa päihin.. ja lankkuhan saattaa keikahtaa... Ensimmäisenä veteen putoava merirosvo häviääkin pelin.; Olette ilkikurisia merirosvoja, jotka pihistävät aarteita Kapteeni Kirahvin arkusta. Yrittäkää kaataa syyt muiden niskoille, mutta varokaa jäämästä kiinni, ettette joudu lankulle! Aina kun joku onnistuu pihistämään aarteita, muut pelaajat saavat painoja lankkujensa päihin... ja lankku saattaa keikahtaa... Mutta jos olet liian ahne (tai huonotuurinen), joudutkin itse lähemmäs veteen putoamista! Ensimmäisenä veteen molskahtava merirosvo häviää pelin!",lastenpelit; seikkailupelit; lautapelit; pelit; perhepelit; kaksinpelit; kolminpelit; nelinpelit; näppäryyspelit,['merirosvot']; ['aarteet']; ['varkaus']; ['kilpailu']; ['uhat']; ['putoaminen']; ['merirosvolaivat']; ['norsut'],,Ikäsuositus: yli 5-vuotiaille.,"1 lautapeli (useita osia kotelossa) ; 28 x 20 x 6 cm + 2 sääntövihkoa (4, 4 numeroimatonta sivua)"
keski.3051048,Pipsa Possu: kuralätäkkö,,2019,2019,[2019],fin,,"{'primary': [], 'secondary': [], 'corporate': []}",Tactic Games,,pelit; lastenpelit; lautapelit,,,Ikäsuositus: yli 3-vuotiaille.,1 peli (useita osia kotelossa) + 1 sääntölehti
